Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
P01130	LDLR_HUMAN	reviewed	Low-density lipoprotein receptor (LDL receptor)	LDLR	Homo sapiens (Human)	860			DISEASE: Hypercholesterolemia, familial, 1 (FHCL1) [MIM:143890]: A form of hypercholesterolemia, a disorder of lipoprotein metabolism characterized by elevated serum low-density lipoprotein (LDL) cholesterol levels, which result in excess deposition of cholesterol in tissues and leads to xanthelasma, xanthomas, accelerated atherosclerosis and increased risk of premature coronary heart disease. FHCL1 inheritance is autosomal dominant. {ECO:0000269|PubMed:10090484, ECO:0000269|PubMed:10206683, ECO:0000269|PubMed:10422803, ECO:0000269|PubMed:10447263, ECO:0000269|PubMed:10532689, ECO:0000269|PubMed:10660340, ECO:0000269|PubMed:10882754, ECO:0000269|PubMed:10978268, ECO:0000269|PubMed:10980548, ECO:0000269|PubMed:11298688, ECO:0000269|PubMed:11462246, ECO:0000269|PubMed:1446662, ECO:0000269|PubMed:1464748, ECO:0000269|PubMed:17142622, ECO:0000269|PubMed:17347910, ECO:0000269|PubMed:1867200, ECO:0000269|PubMed:19318025, ECO:0000269|PubMed:19319977, ECO:0000269|PubMed:22160468, ECO:0000269|PubMed:22509010, ECO:0000269|PubMed:2318961, ECO:0000269|PubMed:24529145, ECO:0000269|PubMed:25378237, ECO:0000269|PubMed:25545329, ECO:0000269|PubMed:2569482, ECO:0000269|PubMed:2726768, ECO:0000269|PubMed:3263645, ECO:0000269|PubMed:3955657, ECO:0000269|PubMed:7550239, ECO:0000269|PubMed:7573037, ECO:0000269|PubMed:7583548, ECO:0000269|PubMed:7635461, ECO:0000269|PubMed:7635482, ECO:0000269|PubMed:7649546, ECO:0000269|PubMed:7649549, ECO:0000269|PubMed:8168830, ECO:0000269|PubMed:8347689, ECO:0000269|PubMed:8462973, ECO:0000269|PubMed:8664907, ECO:0000269|PubMed:8740918, ECO:0000269|PubMed:9026534, ECO:0000269|PubMed:9104431, ECO:0000269|PubMed:9143924, ECO:0000269|PubMed:9254862, ECO:0000269|PubMed:9259195, ECO:0000269|PubMed:9452094, ECO:0000269|PubMed:9452095, ECO:0000269|PubMed:9452118, ECO:0000269|PubMed:9654205, ECO:0000269|PubMed:9678702, ECO:0000269|PubMed:9852677, ECO:0000269|Ref.72}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 811;  /note=""K->R: No change. No change; when associated with R-816 and R-830. Insensitive to MYLIP-triggered degradation; when associated with R-816; R-830 and A-839."";  /evidence=""ECO:0000269|PubMed:19520913""; MUTAGEN 816;  /note=""K->R: No change. No change; when associated with R-830. No change; when associated with R-811 and R-830. Insensitive to MYLIP-triggered degradation; when associated with R-830 and A-839. Insensitive to MYLIP-triggered degradation; when associated with R-811; R-830 and A-839."";  /evidence=""ECO:0000269|PubMed:19520913""; MUTAGEN 821;  /note=""I->A: 3-fold decreased affinity for LDLRAP1."";  /evidence=""ECO:0000269|PubMed:22509010""; MUTAGEN 821;  /note=""I->R: 10-fold decreased affinity for LDLRAP1."";  /evidence=""ECO:0000269|PubMed:22509010""; MUTAGEN 828;  /note=""Y->A: Abolishes interaction with ARRB2."";  /evidence=""ECO:0000269|PubMed:12944399""; MUTAGEN 829;  /note=""Q->A: Decreased affinity for LDLRAP1."";  /evidence=""ECO:0000269|PubMed:22509010""; MUTAGEN 830;  /note=""K->R: No change. No change; when associated with R-816. No change; when associated with R-811 and R-816. Insensitive to MYLIP-triggered degradation; when associated with A-839. Insensitive to MYLIP-triggered degradation; when associated with R-816 and A-839. Insensitive to MYLIP-triggered degradation; when associated with R-811; R-816 and A-839."";  /evidence=""ECO:0000269|PubMed:19520913""; MUTAGEN 839;  /note=""C->A: No change. Insensitive to MYLIP-triggered degradation; when associated with R-830. Insensitive to MYLIP-triggered degradation; when associated with R-816 and R-830. Insensitive to MYLIP-triggered degradation; when associated with R-811; R-816 and R-830."";  /evidence=""ECO:0000269|PubMed:19520913""; MUTAGEN 854;  /note=""S->A: No effect on receptor internalization."";  /evidence=""ECO:0000269|PubMed:12944399""; MUTAGEN 854;  /note=""S->D: Enhances interaction with ARRB2 and receptor internalization."";  /evidence=""ECO:0000269|PubMed:12944399"""	P01130;	9606.ENSP00000454071;	1AJJ;1D2J;1F5Y;1F8Z;1HJ7;1HZ8;1I0U;1IJQ;1LDL;1LDR;1LRX;1N7D;1XFE;2FCW;2KRI;2LGP;2M7P;2MG9;2W2M;2W2N;2W2O;2W2P;2W2Q;3BPS;3GCW;3GCX;3M0C;3P5B;3P5C;3SO6;4NE9;5OY9;5OYL;
P10104	WAC_BPT4	reviewed	Fibritin (Collar protein) (Whisker antigen control protein)	wac	Enterobacteria phage T4 (Bacteriophage T4)	487								1AA0;1AVY;1OX3;1RFO;1V1H;1V1I;2BSG;2IBL;2KBL;3A1M;3J2O;4MMQ;4MMR;4MMS;4MMT;4MMU;4MMV;4NCU;4NCV;4NCW;5TDL;6APD;6CNV;6CRV;6CRW;6CRX;6CRZ;6CS0;6CS1;6CS2;6JX7;6OE5;6Z97;6ZGH;6ZHD;7A4N;7L7F;
P72181	NIRS_PARPN	reviewed	Nitrite reductase (EC 1.7.2.1) (Cytochrome cd1) (Cytochrome oxidase) (Hydroxylamine reductase) (EC 1.7.99.1)	nirS	Paracoccus pantotrophus (Thiosphaera pantotropha)	596							935565.JAEM01000004_gene3094;	1AOF;1AOM;1AOQ;1DY7;1E2R;1GQ1;1H9X;1H9Y;1HCM;1HJ3;1HJ4;1HJ5;1QKS;
Q60773	CDN2D_MOUSE	reviewed	Cyclin-dependent kinase 4 inhibitor D (p19-INK4d)	Cdkn2d	Mus musculus (Mouse)	166						Q60773;	10090.ENSMUSP00000083561;	1AP7;1BLX;
P08758	ANXA5_HUMAN	reviewed	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	320			DISEASE: Pregnancy loss, recurrent, 3 (RPRGL3) [MIM:614391]: A common complication of pregnancy, resulting in spontaneous abortion before the fetus has reached viability. The term includes all miscarriages from the time of conception until 24 weeks of gestation. Recurrent pregnancy loss is defined as 3 or more consecutive spontaneous abortions. {ECO:0000269|PubMed:17339269}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.			P08758;	9606.ENSP00000296511;	1ANW;1ANX;1AVH;1AVR;1HAK;1HVD;1HVE;1HVF;1HVG;1SAV;2XO2;2XO3;6K22;6K25;
Q53654	CNA_STAAU	reviewed	Collagen adhesin	cna	Staphylococcus aureus	1183					"MUTAGEN 175;  /note=""Y->K: More than 90% loss of collagen-binding."";  /evidence=""ECO:0000269|PubMed:16362049"""			1AMX;1D2O;1D2P;2F68;2F6A;
P27485	RET4_PIG	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	RBP4	Sus scrofa (Pig)	201							9823.ENSSSCP00000011168;	1AQB;
P50921	TPIS_MORMI	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tim tpi	Moritella marina (Vibrio marinus)	256					"MUTAGEN 238;  /note=""A->S: Reduces catalytic efficiency and affinity, but increases thermal stability."";  /evidence=""ECO:0000269|PubMed:9442062"""			1AW1;1AW2;
Q00420	GABP1_MOUSE	reviewed	GA-binding protein subunit beta-1 (GABP subunit beta-1) (GABPB-1) (GABP subunit beta-2) (GABPB-2)	Gabpb1 Gabpb Gabpb2	Mus musculus (Mouse)	383					"MUTAGEN 69;  /note=""K->R: Decreased acetylation; when associated with R-340 and Lys-369."";  /evidence=""ECO:0000269|PubMed:25200183""; MUTAGEN 340;  /note=""K->R: Decreased acetylation; when associated with R-69 and Lys-369."";  /evidence=""ECO:0000269|PubMed:25200183""; MUTAGEN 369;  /note=""K->R: Decreased acetylation; when associated with R-69 and Lys-340."";  /evidence=""ECO:0000269|PubMed:25200183"""		10090.ENSMUSP00000106055;	1AWC;
P02701	AVID_CHICK	reviewed	Avidin	AVD	Gallus gallus (Chicken)	152							9031.ENSGALP00000003846;	1AVD;1AVE;1IJ8;1LDO;1LDQ;1LEL;1NQN;1RAV;1VYO;2A5B;2A5C;2A8G;2AVI;2C4I;2CAM;2JGS;2MF6;3FDC;3MM0;3VGW;3VHH;3VHI;3VHM;4I60;4JHQ;4U46;5CHK;5HLM;5IRU;5IRW;5LUR;5MYQ;6XND;
P01070	ITRA_SOYBN	reviewed	Trypsin inhibitor A (Kunitz-type trypsin inhibitor A)	KTI3	Glycine max (Soybean) (Glycine hispida)	216							3847.GLYMA08G45531.1;	1AVU;1AVW;1AVX;1BA7;6NTT;6O1F;
P12004	PCNA_HUMAN	reviewed	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	Homo sapiens (Human)	261			DISEASE: Ataxia-telangiectasia-like disorder 2 (ATLD2) [MIM:615919]: A neurodegenerative disorder due to defects in DNA excision repair. ATLD2 is characterized by developmental delay, ataxia, sensorineural hearing loss, short stature, cutaneous and ocular telangiectasia, and photosensitivity. {ECO:0000269|PubMed:24911150}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 13;  /note=""K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-14; R-20; R-77 and R-80."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 14;  /note=""K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-20; R-77 and R-80."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 20;  /note=""K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-14; R-77 and R-80."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 40;  /note=""M->A: Complete loss of interaction with UHRF2."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 43..45;  /note=""SHV->AAA: No effect on POLD3-binding."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 77;  /note=""K->A: Inhibits recruitment to DNA damage sites, but nuclear localization is similar as the wild-type; in association with A-80."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 77;  /note=""K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-14; R-20 and R-80."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 80;  /note=""K->A: Inhibits recruitment to DNA damage sites, but nuclear localization is similar as the wild-type; in association with A-77."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 80;  /note=""K->R: Inhibits acetylation, recruitment to DNA damage sites, inducible ubiquitination and protein degradation, DNA replication and repair synthesis efficiencies, but homotrimer formation, nuclear recruitment to DNA damage sites, interactions with CREBBP, EP300 and POLD1 are similar as the wild-type; in association with R-13; R-14; R-20 and R-77."";  /evidence=""ECO:0000269|PubMed:24939902""; MUTAGEN 125..128;  /note=""QLGI->AAAA: Strong decrease in POLD3-binding."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 128;  /note=""I->A: Complete loss of interaction with UHRF2."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 164;  /note=""K->R: Abolishes ubiquitination. No effect on interaction with SHPRH."";  /evidence=""ECO:0000269|PubMed:17108083, ECO:0000269|PubMed:17130289, ECO:0000269|PubMed:18719106, ECO:0000269|PubMed:20129063""; MUTAGEN 188..190;  /note=""VDK->AAA: No effect on POLD3-binding."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 211;  /note=""Y->F: Alters chromatin-associated PCNA stability and its function in DNA replication and repair."";  /evidence=""ECO:0000269|PubMed:17115032""; MUTAGEN 250;  /note=""Y->A: Complete loss of interaction with UHRF2."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 251..254;  /note=""LAPK->AAAA: Decrease in POLD3-binding."";  /evidence=""ECO:0000269|PubMed:11595739""; MUTAGEN 252;  /note=""A->G: Complete loss of interaction with UHRF2."";  /evidence=""ECO:0000269|PubMed:11595739"""	P12004;	9606.ENSP00000368458;	1AXC;1U76;1U7B;1UL1;1VYJ;1VYM;1W60;2ZVK;2ZVL;2ZVM;3JA9;3P87;3TBL;3VKX;3WGW;4D2G;4RJF;4ZTD;5E0T;5E0U;5E0V;5IY4;5MAV;5MLO;5MLW;5MOM;5YCO;5YD8;6CBI;6EHT;6FCM;6FCN;6GIS;6GWS;6HVO;6K3A;6QC0;6QCG;6S1M;6S1N;6S1O;6TNY;6TNZ;6VVO;7EFA;7KQ0;7KQ1;
P02754	LACB_BOVIN	reviewed	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	LGB	Bos taurus (Bovine)	178	ALLERGEN: Causes an allergic reaction in human. Is one of the causes of cow's milk allergy.						9913.ENSBTAP00000019538;	1B0O;1B8E;1BEB;1BSO;1BSQ;1BSY;1CJ5;1DV9;1GX8;1GX9;1GXA;1QG5;1UZ2;1YUP;2AKQ;2BLG;2GJ5;2Q2M;2Q2P;2Q39;2R56;3BLG;3KZA;3NPO;3NQ3;3NQ9;3PH5;3PH6;3UEU;3UEV;3UEW;3UEX;4DQ3;4DQ4;4GNY;4IB6;4IB7;4IB8;4IB9;4IBA;4KII;4LZU;4LZV;4Y0P;4Y0Q;4Y0R;5HTD;5HTE;5IO5;5IO7;5K06;5LKE;5LKF;5NUJ;5NUK;5NUM;5NUN;5Y5C;6FXB;6GE7;6GF9;6GFS;6GHH;6NKQ;6QI6;6QI7;6QPD;6QPE;6RWP;6RWQ;6RWR;6RYT;6T42;6XVE;6ZSQ;6ZSR;7BF7;7BF8;7BF9;7BGA;7BGX;7BGZ;7BH0;7KOT;7KP5;
P06768	RET2_RAT	reviewed	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)	Rbp2 Crbpii	Rattus norvegicus (Rat)	134							10116.ENSRNOP00000018755;	1B4M;1EII;1OPA;1OPB;
P30153	2AAA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Homo sapiens (Human)	589			DISEASE: Mental retardation, autosomal dominant 36 (MRD36) [MIM:616362]: A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. {ECO:0000269|PubMed:25533962, ECO:0000269|PubMed:26168268}. Note=The disease is caused by variants affecting the gene represented in this entry.			P30153;	9606.ENSP00000324804;	1B3U;2IE3;2IE4;2NPP;2NYL;2NYM;2PKG;3C5W;3DW8;3K7V;3K7W;4I5L;4I5N;4LAC;5W0W;6IUR;6NTS;7CUN;7K36;
Q01469	FABP5_HUMAN	reviewed	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	FABP5	Homo sapiens (Human)	135					"MUTAGEN 24;  /note=""K->A: Loss of ligand-induced nuclear import; when associated with A-33 and A-34."";  /evidence=""ECO:0000269|PubMed:24692551""; MUTAGEN 33;  /note=""R->A: Loss of ligand-induced nuclear import; when associated with A-24 and A-34."";  /evidence=""ECO:0000269|PubMed:24692551""; MUTAGEN 34;  /note=""K->A: Loss of ligand-induced nuclear import; when associated with A-24 and A-33."";  /evidence=""ECO:0000269|PubMed:24692551"""	Q01469;	9606.ENSP00000297258;	1B56;1JJJ;4AZM;4AZR;4LKP;4LKT;5HZ5;5UR9;
P0AEZ1	METF_ECOLI	reviewed	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	metF b3941 JW3913	Escherichia coli (strain K12)	296					"MUTAGEN 28;  /note=""E->Q: Abolishes enzyme activity."";  /evidence=""ECO:0000269|PubMed:11371182, ECO:0000269|PubMed:16114881""; MUTAGEN 120;  /note=""D->N: Strongly reduces enzyme activity. Strongly reduces affinity for 5-methyltetrahydrofolate."";  /evidence=""ECO:0000269|PubMed:11371182""; MUTAGEN 177;  /note=""A->V: Increases the propensity to lose its essential flavin cofactor."";  /evidence=""ECO:0000269|PubMed:10201405""; MUTAGEN 223;  /note=""F->A: Strongly decreases substrate and NADH binding."";  /evidence=""ECO:0000269|PubMed:19610625""; MUTAGEN 223;  /note=""F->L: Slightly reduced enzyme activity."";  /evidence=""ECO:0000269|PubMed:19610625"""	P0AEZ1;	511145.b3941;	1B5T;1ZP3;1ZP4;1ZPT;1ZRQ;2FMN;2FMO;3FST;3FSU;6PEY;
P02945	BACR_HALSA	reviewed	Bacteriorhodopsin (BR) (Bacterioopsin) (BO)	bop VNG_1467G	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	262								1AP9;1AT9;1BAC;1BAD;1BCT;1BHA;1BHB;1BM1;1BRD;1BRR;1BRX;1C3W;1C8R;1C8S;1CWQ;1DZE;1E0P;1F4Z;1F50;1FBB;1FBK;1IW6;1IW9;1IXF;1JV6;1JV7;1KG8;1KG9;1KGB;1KME;1L0M;1M0K;1M0L;1M0M;1MGY;1O0A;1P8H;1P8I;1P8U;1PXR;1PXS;1PY6;1Q5I;1Q5J;1QHJ;1QKO;1QKP;1QM8;1R2N;1R84;1S51;1S52;1S53;1S54;1S8J;1S8L;1TN0;1TN5;1UCQ;1VJM;1X0I;1X0K;1X0S;1XJI;2AT9;2BRD;2I1X;2I20;2I21;2NTU;2NTW;2WJK;2WJL;2ZFE;2ZZL;3COC;3COD;3HAN;3HAO;3HAP;3HAQ;3HAR;3HAS;3MBV;3NS0;3NSB;3T45;3UTV;3UTW;3UTX;3UTY;3VHZ;3VI0;4FPD;4HWL;4HYX;4MD1;4MD2;4OV0;4X31;4X32;4XXJ;5A44;5A45;5B34;5B35;5B6V;5B6W;5B6X;5B6Y;5B6Z;5BR2;5BR5;5H2H;5H2I;5H2J;5H2K;5H2L;5H2M;5H2N;5H2O;5H2P;5J7A;5VN7;5VN9;5ZIL;5ZIM;5ZIN;6G7H;6G7I;6G7J;6G7K;6G7L;6GA1;6GA2;6GA3;6GA4;6GA5;6GA6;6GA7;6GA8;6GA9;6GAA;6GAB;6GAC;6GAD;6GAE;6GAF;6GAG;6GAH;6GAI;6RMK;6RNJ;6RPH;6RQO;6RQP;
P03474	NRAM_INBLE	reviewed	Neuraminidase (EC 3.2.1.18)		Influenza B virus (strain B/Lee/1940)	466					"MUTAGEN 117;  /note=""E->G: Reduced substrate binding."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 149;  /note=""D->E: Almost complete loss of enzymatic activity."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 150;  /note=""R->K: Reduced substrate binding."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 223;  /note=""R->K: Reduced substrate binding."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 275;  /note=""E->D: Almost complete loss of enzymatic activity."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 374;  /note=""R->K: 80% loss of catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 374;  /note=""R->N: 94% loss of catalytic efficiency."";  /evidence=""ECO:0000269|PubMed:9874196""; MUTAGEN 409;  /note=""Y->F: Complete loss of enzymatic activity."";  /evidence=""ECO:0000269|PubMed:9874196"""			1B9S;1B9T;1B9V;1INF;1INV;1IVB;1VCJ;
P05230	FGF1_HUMAN	reviewed	Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1)	FGF1 FGFA	Homo sapiens (Human)	155					"MUTAGEN 24..27;  /note=""KKPK->AAPA: Loss of nuclear import leading to loss of phosphorylation by PKC/PRKCD."";  /evidence=""ECO:0000269|PubMed:22321063""; MUTAGEN 33;  /note=""N->A: No effect on integrin-binding."";  /evidence=""ECO:0000269|PubMed:18441324""; MUTAGEN 50;  /note=""R->E: Dominant-negative mutant. Defective in integrin-binding and in ternary complex formation with integrin and FGFR1. No effect on heparin- and FGFR1-binding. Defective in inducing FGF1 signaling, cell proliferation and cell migration. Defective in inducing angiogenesis, and suppression of angiogenesis in different in vitro and in vivo angiogenesis models."";  /evidence=""ECO:0000269|PubMed:18441324, ECO:0000269|PubMed:20422052, ECO:0000269|PubMed:23469107""; MUTAGEN 102;  /note=""E->A: No effect on integrin-binding. No effect on integrin- and heparin-binding, loss of FGFR1-binding, defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with A-109 and A-110."";  /evidence=""ECO:0000269|PubMed:18441324""; MUTAGEN 109;  /note=""Y->A: No effect on integrin- and heparin-binding, loss of FGFR1-binding, defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with A-102 and A-110."";  /evidence=""ECO:0000269|PubMed:18441324""; MUTAGEN 110;  /note=""N->A: No effect on integrin-binding. No effect on integrin- and heparin-binding, loss of FGFR1-binding, defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with A-102 and A-109."";  /evidence=""ECO:0000269|PubMed:18441324""; MUTAGEN 114;  /note=""S->A: Decrease in LRRC59-binding."";  /evidence=""ECO:0000269|PubMed:11964394""; MUTAGEN 127;  /note=""K->E: Reduced integrin-binding; when associated with E-128. Defective in integrin-, heparin- and FGFR1-binding, and defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with E-128; E-133 and E-134."";  /evidence=""ECO:0000269|PubMed:18441324""; MUTAGEN 128;  /note=""K->E: Reduced integrin-binding; when associated with E-127. Defective in integrin-, heparin- and FGFR1-binding, and defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with E-127; E-133 and E-134."";  /evidence=""ECO:0000269|PubMed:18441324""; MUTAGEN 131;  /note=""S->A: Decrease in LRRC59-binding."";  /evidence=""ECO:0000269|PubMed:11964394""; MUTAGEN 131;  /note=""S->E: Decrease in LRRC59-binding."";  /evidence=""ECO:0000269|PubMed:11964394""; MUTAGEN 133;  /note=""K->A: Loss of LRRC59-binding."";  /evidence=""ECO:0000269|PubMed:11964394""; MUTAGEN 133;  /note=""K->E: Loss of CSNK2A-, CSNK2B- and LRRC59-binding. Reduced integrin-binding; when associated with E-134. Defective in integrin-, heparin- and FGFR1-binding, and defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with E-128; E-133 and E-134."";  /evidence=""ECO:0000269|PubMed:11964394, ECO:0000269|PubMed:18441324""; MUTAGEN 133;  /note=""K->R: No effect on LRRC59-binding."";  /evidence=""ECO:0000269|PubMed:11964394""; MUTAGEN 134;  /note=""R->E: Reduced integrin-binding; when associated with E-133. Defective in integrin-, heparin- and FGFR1-binding, and defective in inducing FGF1 signaling, cell proliferation and cell migration; when associated with E-127; E-128 and E-133."";  /evidence=""ECO:0000269|PubMed:18441324"""	P05230;	9606.ENSP00000480791;	1AXM;1DJS;1DZC;1DZD;1E0O;1EVT;1HKN;1JQZ;1JT3;1JT4;1JT5;1JT7;1JTC;1JY0;1K5U;1K5V;1M16;1NZK;1P63;1PZZ;1Q03;1Q04;1QCT;1RG8;1RML;1RY7;1YTO;1Z2V;1Z4S;2AFG;2AQZ;2AXM;2ERM;2HW9;2HWA;2HWM;2HZ9;2K43;2K4A;2K8R;2KI4;2KI6;2NTD;2Q9X;2RQ9;3B9U;3BA4;3BA5;3BA7;3BAD;3BAG;3BAH;3BAO;3BAQ;3BAU;3BAV;3BB2;3CQA;3CRG;3CRH;3CRI;3CU1;3FGM;3FJ8;3FJ9;3FJA;3FJB;3FJC;3FJD;3FJE;3FJF;3FJH;3FJI;3FJJ;3FJK;3HOM;3JUT;3K1X;3O3Q;3OJ2;3OJM;3OJV;3UD7;3UD8;3UD9;3UDA;4J23;4Q91;4Q9G;4Q9P;4QAL;4QBC;4QBV;4QC4;4QO3;4XKI;4YOL;
P39476	DN7D_SACS2	reviewed	DNA-binding protein 7d (7 kDa DNA-binding protein d) (Sso7d)	sso7d sso7d-1 SSO10610	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	64							273057.SSO10610;	1BBX;1BNZ;1C8C;1JIC;5B02;5B03;5B0I;5B0J;5B0K;5B0L;5B0M;5GWV;5GWW;5U1C;6J8V;6J8W;6PUT;6PUW;6PUY;6PUZ;6V3K;6VOY;
